gene_id,cluster_id,cluster_label
ENSG00000010292.12,1,Delayed Proliferative
ENSG00000138778.11,1,Delayed Proliferative
ENSG00000138160.5,1,Delayed Proliferative
ENSG00000131747.14,1,Delayed Proliferative
ENSG00000117724.12,1,Delayed Proliferative
ENSG00000066279.17,1,Delayed Proliferative
ENSG00000163808.16,1,Delayed Proliferative
ENSG00000035499.12,1,Delayed Proliferative
ENSG00000088325.15,1,Delayed Proliferative
ENSG00000137812.19,1,Delayed Proliferative
ENSG00000133026.12,1,Delayed Proliferative
ENSG00000123360.11,1,Delayed Proliferative
ENSG00000118193.11,1,Delayed Proliferative
ENSG00000122966.15,1,Delayed Proliferative
ENSG00000136108.14,1,Delayed Proliferative
ENSG00000072571.19,1,Delayed Proliferative
ENSG00000076382.16,1,Delayed Proliferative
ENSG00000080986.12,1,Delayed Proliferative
ENSG00000214900.9,1,Delayed Proliferative
ENSG00000169679.14,1,Delayed Proliferative
ENSG00000113810.15,1,Delayed Proliferative
ENSG00000081181.7,1,Delayed Proliferative
ENSG00000146918.19,1,Delayed Proliferative
ENSG00000105379.9,1,Delayed Proliferative
ENSG00000137804.12,1,Delayed Proliferative
ENSG00000169607.12,1,Delayed Proliferative
ENSG00000183765.21,1,Delayed Proliferative
ENSG00000143228.12,1,Delayed Proliferative
ENSG00000133805.15,1,Delayed Proliferative
ENSG00000115425.13,1,Delayed Proliferative
ENSG00000148773.13,1,Delayed Proliferative
ENSG00000111665.11,1,Delayed Proliferative
ENSG00000067992.13,1,Delayed Proliferative
ENSG00000126787.12,1,Delayed Proliferative
ENSG00000100526.19,1,Delayed Proliferative
ENSG00000143409.15,1,Delayed Proliferative
ENSG00000157303.10,1,Delayed Proliferative
ENSG00000213390.10,1,Delayed Proliferative
ENSG00000163535.17,1,Delayed Proliferative
ENSG00000156970.12,1,Delayed Proliferative
ENSG00000117632.22,1,Delayed Proliferative
ENSG00000138180.15,1,Delayed Proliferative
ENSG00000170312.15,1,Delayed Proliferative
ENSG00000109685.17,1,Delayed Proliferative
ENSG00000149503.12,1,Delayed Proliferative
ENSG00000134690.10,1,Delayed Proliferative
ENSG00000079616.12,1,Delayed Proliferative
ENSG00000142945.12,1,Delayed Proliferative
ENSG00000109805.9,1,Delayed Proliferative
ENSG00000167315.17,1,Delayed Proliferative
ENSG00000198771.10,1,Delayed Proliferative
ENSG00000137880.5,1,Delayed Proliferative
ENSG00000107819.13,1,Delayed Proliferative
ENSG00000013810.18,1,Delayed Proliferative
ENSG00000137767.13,1,Delayed Proliferative
ENSG00000005448.16,1,Delayed Proliferative
ENSG00000157456.7,1,Delayed Proliferative
ENSG00000136717.14,1,Delayed Proliferative
ENSG00000123485.11,1,Delayed Proliferative
ENSG00000124181.14,1,Delayed Proliferative
ENSG00000137135.17,1,Delayed Proliferative
ENSG00000112992.16,1,Delayed Proliferative
ENSG00000182054.9,1,Delayed Proliferative
ENSG00000176171.11,1,Delayed Proliferative
