ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,cluster,database,category,subcategory
hsa05322,Systemic lupus erythematosus,43/245,45/846,0.9555555555555556,3.299591836734694,10.11614202077686,2.3819678496410213e-22,3.882607594914865e-20,3.882607594914865e-20,8347/8336/8332/8361/3014/8359/85235/8357/333932/85236/8365/3018/8344/8968/128312/317772/8335/8348/8360/8355/8294/653604/8353/8329/8340/8349/8345/92815/8343/8341/440689/8366/8970/8331/3012/8342/8356/8368/87/727/8969/8334/8346,43,C1_Delayed Proliferative,KEGG,Human Diseases,Immune disease
hsa04613,Neutrophil extracellular trap formation,49/245,60/846,0.8166666666666667,2.82,9.332755768710905,1.6411093666423928e-18,1.3375041338135502e-16,1.3375041338135502e-16,6404/8347/8336/8332/8361/3014/51564/5604/8359/85235/8357/333932/85236/8365/3018/8344/5880/8968/128312/317772/5595/8335/3683/8348/8360/8355/8294/653604/8353/8329/8340/8349/8345/92815/8343/8341/440689/8366/8970/8331/3012/8342/8356/8368/727/8969/8334/5335/8346,49,C1_Delayed Proliferative,KEGG,Organismal Systems,Immune system
hsa05034,Alcoholism,45/245,55/846,0.8181818181818182,2.8252319109461967,8.932752819701584,4.669855847709467e-17,2.5372883439221436e-15,2.5372883439221436e-15,8347/8336/8332/8361/3014/51564/5604/8359/85235/8357/333932/85236/8365/3018/8344/8968/128312/317772/5595/8335/8348/8360/8355/8294/653604/8353/8329/148327/8340/8349/8345/92815/8343/8341/440689/8366/8970/8331/3012/8342/8356/8368/8969/8334/8346,45,C1_Delayed Proliferative,KEGG,Human Diseases,Substance dependence
GO:0006334,nucleosome assembly,33/440,42/1745,0.7857142857142857,3.1160714285714284,8.058272829912411,2.98505131343452e-13,2.2905970402119319e-10,2.2905970402119319e-10,H2BC4/H4C6/H2AX/HMGB2/H1-4/H1-1/H4C1/H3C10/H3C15/H4C8/H2BC3/H2BC6/H1-5/H3C7/H4C4/H3C8/H4C9/H1-2/H3C13/H3C6/H2BC13/H2BC21/H2BC9/H2BC7/H2BC15/H4C2/H1-0/H2BC11/H2BC14/H3C12/H4C13/H1-3/H2BC10,33,C1_Delayed Proliferative,GO_BP,NA,NA
GO:0034728,nucleosome organization,34/440,44/1745,0.7727272727272727,3.0645661157024793,8.051880103960922,3.043982777690275e-13,2.2905970402119319e-10,2.2905970402119319e-10,H2BC4/H4C6/H2AX/HMGB2/H1-4/H1-1/H4C1/H3C10/H3C15/H4C8/H2BC3/H2BC6/H1-5/H3C7/H4C4/H3C8/H4C9/H1-2/H3C13/H3C6/H2BC13/H2BC21/H2BC9/H2AC25/H2BC7/H2BC15/H4C2/H1-0/H2BC11/H2BC14/H3C12/H4C13/H1-3/H2BC10,34,C1_Delayed Proliferative,GO_BP,NA,NA
GO:0140014,mitotic nuclear division,49/440,81/1745,0.6049382716049383,2.3991301907968574,7.485456642622422,5.528424087554945e-12,2.7734260839233974e-9,2.7734260839233974e-9,KIF14/CDCA2/CCNB1/KNL1/KIF2C/SPC24/MKI67/ANLN/CDC25C/KIF20B/FLNA/TPX2/KIF22/PRC1/CENPF/NDC80/KIF11/KIF18B/UBE2C/KIF15/INCENP/NCAPG/INSR/FBXO43/NCAPG2/BIRC5/CHEK2/BUB1B/CDCA8/CDK1/RACGAP1/SMC4/NCAPD2/NCAPH/AURKA/ESPL1/NUF2/DLGAP5/KIF4A/KIF23/BUB1/CDK5RAP2/NUSAP1/CENPA/AURKB/CENPE/NUMA1/SPAG5/NEK2,49,C1_Delayed Proliferative,GO_BP,NA,NA
GO:0065004,protein-DNA complex assembly,35/440,50/1745,0.7,2.7761363636363634,7.397258226102867,1.7659428892443628e-11,6.644360120781915e-9,6.644360120781915e-9,H2BC4/H4C6/H2AX/HMGB2/H1-4/H1-1/H4C1/H3C10/H3C15/H4C8/H2BC3/H2BC6/H1-5/H3C7/MED25/DMC1/H4C4/H3C8/H4C9/H1-2/H3C13/H3C6/H2BC13/H2BC21/H2BC9/H2BC7/H2BC15/H4C2/H1-0/H2BC11/H2BC14/H3C12/H4C13/H1-3/H2BC10,35,C1_Delayed Proliferative,GO_BP,NA,NA
GO:0071824,protein-DNA complex organization,36/440,53/1745,0.6792452830188679,2.6938250428816466,7.2694344987607575,3.565154855767416e-11,1.0731116115859922e-8,1.0731116115859922e-8,H2BC4/H4C6/H2AX/HMGB2/H1-4/H1-1/H4C1/H3C10/H3C15/H4C8/H2BC3/H2BC6/H1-5/H3C7/MED25/DMC1/H4C4/H3C8/H4C9/H1-2/H3C13/H3C6/H2BC13/H2BC21/H2BC9/H2AC25/H2BC7/H2BC15/H4C2/H1-0/H2BC11/H2BC14/H3C12/H4C13/H1-3/H2BC10,36,C1_Delayed Proliferative,GO_BP,NA,NA
GO:0006325,chromatin organization,76/440,158/1745,0.4810126582278481,1.9076524741081702,6.944708138661868,5.284365715799922e-11,1.3254950670464804e-8,1.3254950670464804e-8,H2BC4/H2AC17/BARD1/H2AC16/H4C6/H2AX/APOBEC3C/HDAC7/HMGB2/MKI67/H1-4/TOP2A/MIS18BP1/H1-1/MYO1C/PRIMPOL/H4C1/H2AC12/H3C10/H3C15/H2BC12/H4C8/H2BC3/H2BC6/H1-5/H3C7/H2BC26/RHNO1/PARP2/NCAPG2/H2AC21/H2AC4/MLLT3/H2BC17/H4C4/SPIN4/YEATS2/CDK1/H3C8/H4C9/H1-2/H3C13/H3C6/H2AC13/H2BC13/H2BC21/PAK1/AURKA/H2BC9/H2AC25/SETBP1/H2BC7/ING2/H2BC15/CUL4B/H2BC18/SIRT3/H4C2/H1-0/H2BC11/H2AC8/BUB1/NSD2/H2BC14/H3C12/H4C13/ZMYND8/PHF19/CENPA/WBP2/AURKB/H1-3/H2AC11/H2AC6/HJURP/H2BC10,76,C1_Delayed Proliferative,GO_BP,NA,NA
GO:0006338,chromatin remodeling,64/440,126/1745,0.5079365079365079,2.0144300144300145,6.862435274812799,1.1964542349506098e-10,2.3364165719277052e-8,2.3364165719277052e-8,H2BC4/H2AC17/BARD1/H2AC16/H4C6/H2AX/APOBEC3C/HDAC7/HMGB2/H1-4/MIS18BP1/H1-1/MYO1C/PRIMPOL/H4C1/H2AC12/H3C10/H3C15/H4C8/H2BC3/H2BC6/H1-5/H3C7/PARP2/H2AC21/H2AC4/H4C4/YEATS2/CDK1/H3C8/H4C9/H1-2/H3C13/H3C6/H2AC13/H2BC13/H2BC21/PAK1/AURKA/H2BC9/H2AC25/SETBP1/H2BC7/ING2/H2BC15/CUL4B/SIRT3/H4C2/H1-0/H2BC11/H2AC8/BUB1/NSD2/H2BC14/H3C12/H4C13/PHF19/CENPA/WBP2/AURKB/H1-3/H2AC11/H2AC6/H2BC10,64,C1_Delayed Proliferative,GO_BP,NA,NA
